pH	Absorbance Ratio (590 nm / 520 nm)
2.14	0.29412
2.20	0.30081
2.24	0.30000
2.30	0.29508
2.34	0.29508
2.44	0.31496
2.57	0.29839
2.61	0.29167
2.70	0.30894
2.71	0.31452
2.73	0.30645
2.74	0.30000
2.92	0.32000
2.93	0.31452
2.94	0.30833
3.14	0.31452
3.18	0.32500
3.18	0.31967
3.25	0.33333
3.27	0.32231
3.31	0.32203
3.37	0.36000
3.79	0.35000
3.80	0.36220
4.34	0.41860
4.38	0.41600
4.52	0.44776
5.08	0.55906
5.08	0.56349
5.19	0.56800
5.56	0.73600
5.58	0.72441
5.58	0.73228
5.82	0.87603
5.84	0.87903
5.89	0.89256
6.01	0.97619
6.02	0.99187
6.13	1.00820
6.20	1.09677
6.24	1.08130
6.26	1.09917
6.30	1.19835
6.30	1.19672
6.37	1.24167
6.38	1.19512
6.48	1.30833
6.50	1.28696
6.50	1.28571
6.61	1.35398
6.64	1.37190
6.72	1.46552
6.79	1.48696
6.80	1.44628
6.83	1.54167
6.85	1.55833
6.90	1.56897
6.97	1.64035
6.98	1.64103
7.00	1.62931
7.09	1.67521
7.09	1.68644
7.14	1.75000
7.16	1.71681
7.23	1.75652
7.30	1.74576
7.33	1.81197
7.35	1.83333
7.36	1.84071
7.52	1.92727
7.56	1.90351
7.62	1.95495
7.89	2.02703
7.94	2.02752
7.94	2.04386
8.36	2.14414
8.38	2.14815
8.39	2.09009
8.84	2.18349
8.86	2.17857
8.90	2.16216
9.09	2.18584
9.17	2.24324
9.27	2.23364
9.55	2.18182
9.57	2.25234
9.59	2.25926
9.87	2.23364
9.92	2.23148
10.00	2.19469
10.11	2.24299
10.16	2.24771
10.25	2.19626
